,f1_score,loss,val_f1_score,val_loss
0,0.42820411920547485,1.1827558279037476,0.4876169264316559,1.0078471899032593
1,0.49876219034194946,0.9708412289619446,0.5127607583999634,0.9649866223335266
2,0.5274475812911987,0.9330348372459412,0.5126908421516418,0.9226228594779968
3,0.5463994145393372,0.9076575636863708,0.5572307109832764,0.9124817252159119
4,0.5561767816543579,0.8884012699127197,0.5693535804748535,0.8748524785041809
5,0.5659846067428589,0.8741298317909241,0.5795396566390991,0.8577231168746948
6,0.5747235417366028,0.8617619872093201,0.5622972249984741,0.8714301586151123
7,0.5794857740402222,0.8519241809844971,0.5818055272102356,0.8826777338981628
8,0.588077187538147,0.8427740335464478,0.5836457014083862,0.8720952868461609
9,0.5926307439804077,0.8354747891426086,0.5961002707481384,0.8449179530143738
10,0.5944720506668091,0.827589750289917,0.5923904180526733,0.8549764752388
11,0.5998319387435913,0.8195229172706604,0.6009716987609863,0.8367093205451965
12,0.6063205599784851,0.8118587732315063,0.605577290058136,0.8307605981826782
13,0.6088994741439819,0.8075243234634399,0.6113302111625671,0.8219224810600281
14,0.6172439455986023,0.7998479008674622,0.6181670427322388,0.811479926109314
15,0.6136202812194824,0.7959266901016235,0.6156147122383118,0.8312968611717224
16,0.6194897890090942,0.7921174764633179,0.599186897277832,0.8367266058921814
17,0.6228731870651245,0.7862145900726318,0.5970979928970337,0.856740415096283
18,0.6237146258354187,0.7827585339546204,0.6152878999710083,0.8107573986053467
19,0.6308351755142212,0.7763350605964661,0.6177980303764343,0.835050642490387
20,0.6288838386535645,0.7732889652252197,0.6126105189323425,0.8249362707138062
21,0.6348346471786499,0.7671615481376648,0.62388676404953,0.810332179069519
22,0.6372308135032654,0.7635259032249451,0.6282591223716736,0.8230689167976379
23,0.6398671269416809,0.7587816715240479,0.6180986762046814,0.8239458799362183
24,0.6427806615829468,0.7545338869094849,0.6134895086288452,0.8412946462631226
25,0.6430458426475525,0.7518420219421387,0.6173087358474731,0.8212234973907471
26,0.647898256778717,0.7473207116127014,0.6089686155319214,0.8227841258049011
